age,gender,height_cm,weight_kg,bmi,bmi_category,activity_level,goal,diet_preference,bmr,tdee,calorie_target,diet_plan,workout_plan,fitness_category,fat_pct,water_liters,workout_freq,session_hours,max_bpm,avg_bpm,calories_burned_session
56,Male,171.0,88.3,30.2,Obese,Active,Maintain Fitness,Vegetarian,1676.8,2892.5,2892.5,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,12.6,3.5,4,1.69,180,157,1313.0
46,Female,153.0,74.9,32.0,Obese,Active,Weight Loss,Eggetarian,1314.2,2267.0,1867.0,Low Calorie Balanced Diet,Intermediate Cardio + HIIT,Needs Improvement,33.9,2.1,4,1.3,179,151,883.0
32,Female,166.0,68.1,24.71,Normal,Active,Improve Stamina,Non-Vegetarian,1397.5,2410.7,2510.7,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,33.4,2.3,4,1.11,167,122,677.0
25,Male,170.0,53.2,18.41,Underweight,Light,Muscle Gain,Non-Vegetarian,1474.5,2027.4,2327.4,High Protein Non-Veg Diet,Beginner Fitness Routine,Needs Improvement,28.8,2.1,3,0.59,190,164,532.0
38,Male,179.0,46.1,14.39,Underweight,Light,Muscle Gain,Vegetarian,1394.8,1917.8,2217.8,High Protein Veg Diet,Beginner Fitness Routine,Needs Improvement,29.2,2.8,3,0.64,188,158,556.0
56,Female,168.0,58.0,20.55,Normal,Very Active,Maintain Fitness,Vegetarian,1189.0,2259.1,2259.1,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Fit,15.5,2.7,5,1.59,168,156,1116.0
36,Male,172.0,70.3,23.76,Normal,Moderate,Improve Stamina,Vegetarian,1603.0,2484.7,2584.7,High Carb Performance Diet,Cardio Endurance Training,Moderately Fit,21.3,2.3,3,1.49,174,169,1385.0
40,Female,151.0,69.7,30.57,Obese,Moderate,Improve Stamina,Vegan,1279.8,1983.7,2083.7,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,30.6,1.9,3,1.27,189,141,895.0
28,Male,194.0,121.7,32.34,Obese,Active,Weight Loss,Non-Vegetarian,2294.5,3958.0,3558.0,Low Calorie Balanced Diet,Compound Strength Training,Needs Improvement,28.9,2.6,4,1.03,185,127,719.0
28,Male,184.0,101.8,30.07,Obese,Light,Weight Loss,Non-Vegetarian,2033.0,2795.4,2395.4,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,29.7,2.7,3,1.08,169,136,808.0
41,Male,167.0,120.8,43.31,Obese,Sedentary,Weight Loss,Vegetarian,2051.8,2462.2,2062.2,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,20.5,3.0,2,0.82,188,146,593.0
53,Male,170.0,51.7,17.89,Underweight,Moderate,Maintain Fitness,Eggetarian,1319.5,2045.2,2045.2,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Moderately Fit,23.6,3.5,3,1.15,175,152,865.0
57,Male,161.0,112.5,43.4,Obese,Moderate,Improve Stamina,Vegan,1851.2,2869.4,2969.4,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,22.1,2.7,3,1.24,195,165,1013.0
41,Male,200.0,94.5,23.62,Normal,Light,Maintain Fitness,Vegetarian,1995.0,2743.1,2743.1,Balanced Maintenance Diet,Beginner Cardio + Walking,Moderately Fit,27.6,3.7,3,1.18,179,136,794.0
20,Male,181.0,117.7,35.93,Obese,Moderate,Maintain Fitness,Vegetarian,2213.2,3430.5,3430.5,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,26.4,3.3,3,1.35,196,161,1195.0
39,Female,175.0,42.5,13.88,Underweight,Sedentary,Muscle Gain,Vegetarian,1162.8,1395.4,1695.4,High Protein Veg Diet,Beginner Fitness Routine,Needs Improvement,26.2,2.1,2,1.13,181,131,740.0
19,Female,153.0,64.0,27.34,Overweight,Moderate,Weight Loss,Vegetarian,1340.2,2077.3,1677.3,Low Calorie Balanced Diet,Intermediate Cardio + HIIT,Needs Improvement,29.8,2.3,3,1.33,166,167,1111.0
41,Female,177.0,43.8,13.98,Underweight,Light,Weight Loss,Non-Vegetarian,1178.2,1620.0,1220.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,31.9,1.6,3,1.19,182,165,884.0
47,Female,175.0,66.8,21.81,Normal,Moderate,Muscle Gain,Vegetarian,1365.8,2117.0,2417.0,High Protein Veg Diet,Moderate Strength Training,Needs Improvement,32.8,2.5,3,1.13,199,146,742.0
55,Female,167.0,75.2,26.96,Overweight,Sedentary,Weight Loss,Vegetarian,1359.8,1631.8,1231.8,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,25.2,2.2,2,1.37,188,167,1030.0
19,Male,177.0,89.0,28.41,Overweight,Active,Weight Loss,Non-Vegetarian,1906.2,3288.2,2888.2,Low Calorie Balanced Diet,Compound Strength Training,Needs Improvement,28.9,3.7,4,1.5,175,127,1048.0
38,Male,177.0,71.9,22.95,Normal,Sedentary,Weight Loss,Vegetarian,1640.2,1968.2,1568.2,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,25.7,3.1,2,1.12,197,142,875.0
50,Female,168.0,71.0,25.16,Overweight,Sedentary,Improve Stamina,Vegetarian,1349.0,1618.8,1718.8,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,33.1,2.5,2,1.17,187,161,848.0
29,Male,178.0,120.9,38.16,Obese,Sedentary,Improve Stamina,Vegetarian,2181.5,2617.8,2717.8,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,28.1,3.4,2,0.78,197,168,721.0
39,Female,169.0,64.3,22.51,Normal,Active,Maintain Fitness,Non-Vegetarian,1343.2,2317.0,2317.0,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Moderately Fit,26.9,1.9,4,1.25,190,148,925.0
42,Female,171.0,63.7,21.78,Normal,Moderate,Maintain Fitness,Non-Vegetarian,1334.8,2068.9,2068.9,Balanced Maintenance Diet,Active Lifestyle Routine,Moderately Fit,26.1,1.8,3,1.42,173,169,1080.0
44,Male,180.0,65.2,20.12,Normal,Sedentary,Maintain Fitness,Vegetarian,1562.0,1874.4,1874.4,Balanced Maintenance Diet,Beginner Cardio + Walking,Needs Improvement,27.2,2.7,2,0.73,192,139,502.0
59,Male,175.0,53.9,17.6,Underweight,Active,Muscle Gain,Non-Vegetarian,1342.8,2316.3,2616.3,High Protein Non-Veg Diet,Moderate Strength Training,Moderately Fit,21.6,2.8,4,1.48,168,135,989.0
45,Male,186.0,84.9,24.54,Normal,Very Active,Maintain Fitness,Non-Vegetarian,1791.5,3403.8,3403.8,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Fit,14.2,3.5,5,1.64,186,136,1104.0
33,Female,168.0,78.0,27.64,Overweight,Moderate,Weight Loss,Vegetarian,1504.0,2331.2,1931.2,Low Calorie Balanced Diet,Intermediate Cardio + HIIT,Needs Improvement,32.3,1.8,3,1.29,183,135,871.0
32,Male,180.0,108.2,33.4,Obese,Light,Weight Loss,Non-Vegetarian,2052.0,2821.5,2421.5,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,28.4,3.5,3,1.27,172,138,964.0
20,Female,152.0,65.4,28.31,Overweight,Active,Maintain Fitness,Vegetarian,1343.0,2316.7,2316.7,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,28.0,2.2,4,1.03,185,127,654.0
54,Female,161.0,50.2,19.37,Normal,Sedentary,Maintain Fitness,Vegetarian,1077.2,1292.6,1292.6,Balanced Maintenance Diet,Beginner Cardio + Walking,Needs Improvement,28.2,2.7,2,1.48,188,157,1046.0
24,Female,151.0,58.9,25.83,Overweight,Sedentary,Weight Loss,Eggetarian,1251.8,1502.2,1200.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,31.7,2.5,2,1.04,187,157,816.0
38,Male,171.0,81.4,27.84,Overweight,Very Active,Weight Loss,Eggetarian,1697.8,3225.8,2825.8,Low Calorie Balanced Diet,Intermediate Cardio + HIIT,Needs Improvement,10.2,3.5,5,1.52,187,148,1237.0
26,Male,173.0,127.6,42.63,Obese,Light,Weight Loss,Vegan,2232.2,3069.3,2669.3,Low Calorie Balanced Diet,Beginner Fitness Routine,Needs Improvement,27.3,2.9,3,1.32,167,160,1162.0
56,Female,156.0,59.3,24.37,Normal,Active,Improve Stamina,Vegetarian,1127.0,1944.1,2044.1,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,33.4,2.6,4,1.26,182,155,879.0
35,Male,171.0,96.9,33.14,Obese,Moderate,Weight Loss,Vegetarian,1867.8,2895.1,2495.1,Low Calorie Balanced Diet,Compound Strength Training,Needs Improvement,24.2,2.9,3,1.34,188,145,1069.0
21,Male,181.0,62.6,19.11,Normal,Active,Muscle Gain,Non-Vegetarian,1657.2,2858.7,3158.7,High Protein Non-Veg Diet,Progressive Strength Training,Moderately Fit,27.6,3.5,4,1.3,164,150,1072.0
42,Male,160.0,45.5,17.77,Underweight,Moderate,Muscle Gain,Vegetarian,1250.0,1937.5,2237.5,High Protein Veg Diet,Progressive Strength Training,Moderately Fit,21.7,2.6,3,1.31,166,163,1057.0
