age,gender,weight_kg,height_m,height_cm,bmi,bmi_category,max_bpm,avg_bpm,resting_bpm,session_duration_h,calories_burned,fat_pct,water_intake_l,workout_freq,workout_type,experience_level,bmr,tdee,inferred_goal,fitness_category,diet_plan,workout_plan
56,Male,88.3,1.71,171.0,30.2,Obese,180,157,60,1.69,1313.0,12.6,3.5,4,Yoga,3,1676.8,2892.5,Weight Loss,Fit,Balanced Maintenance Diet,Active Lifestyle Routine
46,Female,74.9,1.53,153.0,32.0,Obese,179,151,66,1.3,883.0,33.9,2.1,4,HIIT,2,1314.2,2267.0,Weight Loss,Needs Improvement,High Protein Veg Diet,Progressive Strength Training
32,Female,68.1,1.66,166.0,24.71,Normal,167,122,54,1.11,677.0,33.4,2.3,4,Cardio,2,1397.5,2410.7,Improve Stamina,Moderately Fit,High Carb Performance Diet,Cardio Endurance Training
25,Male,53.2,1.7,170.0,18.41,Underweight,190,164,56,0.59,532.0,28.8,2.1,3,Strength,1,1474.5,2285.5,Weight Gain,Needs Improvement,High Protein Non-Veg Diet,Beginner Fitness Routine
38,Male,46.1,1.79,179.0,14.39,Underweight,188,158,68,0.64,556.0,29.2,2.8,3,Strength,1,1394.8,2161.9,Weight Gain,Needs Improvement,High Protein Non-Veg Diet,Beginner Fitness Routine
56,Female,58.0,1.68,168.0,20.55,Normal,168,156,74,1.59,1116.0,15.5,2.7,5,HIIT,3,1189.0,2259.1,Maintain Fitness,Fit,High Protein Veg Diet,Intermediate Cardio + HIIT
36,Male,70.3,1.72,172.0,23.76,Normal,174,169,73,1.49,1385.0,21.3,2.3,3,Cardio,2,1603.0,2484.7,Improve Stamina,Moderately Fit,High Carb Performance Diet,Cardio Endurance Training
40,Female,69.7,1.51,151.0,30.57,Obese,189,141,64,1.27,895.0,30.6,1.9,3,Cardio,2,1279.8,1983.7,Weight Loss,Needs Improvement,Low Calorie Balanced Diet,Cardio Endurance Training
28,Male,121.7,1.94,194.0,32.34,Obese,185,127,52,1.03,719.0,28.9,2.6,4,Strength,2,2294.5,3958.0,Weight Loss,Needs Improvement,High Protein Non-Veg Diet,Progressive Strength Training
28,Male,101.8,1.84,184.0,30.07,Obese,169,136,64,1.08,808.0,29.7,2.7,3,Cardio,1,2033.0,3151.2,Weight Loss,Needs Improvement,Low Calorie Balanced Diet,Beginner Cardio + Walking
41,Male,120.8,1.67,167.0,43.31,Obese,188,146,54,0.82,593.0,20.5,3.0,2,HIIT,1,2051.8,2821.2,Weight Loss,Needs Improvement,High Protein Non-Veg Diet,Intermediate Cardio + HIIT
53,Male,51.7,1.7,170.0,17.89,Underweight,175,152,72,1.15,865.0,23.6,3.5,3,HIIT,2,1319.5,2045.2,Weight Gain,Moderately Fit,High Protein Non-Veg Diet,Progressive Strength Training
57,Male,112.5,1.61,161.0,43.4,Obese,195,165,61,1.24,1013.0,22.1,2.7,3,Cardio,2,1851.2,2869.4,Weight Loss,Needs Improvement,Low Calorie Balanced Diet,Cardio Endurance Training
41,Male,94.5,2.0,200.0,23.62,Normal,179,136,69,1.18,794.0,27.6,3.7,3,HIIT,1,1995.0,3092.2,Maintain Fitness,Moderately Fit,High Protein Non-Veg Diet,Intermediate Cardio + HIIT
20,Male,117.7,1.81,181.0,35.93,Obese,196,161,54,1.35,1195.0,26.4,3.3,3,Yoga,2,2213.2,3430.5,Weight Loss,Needs Improvement,Balanced Maintenance Diet,Active Lifestyle Routine
39,Female,42.5,1.75,175.0,13.88,Underweight,181,131,52,1.13,740.0,26.2,2.1,2,Strength,1,1162.8,1598.8,Weight Gain,Moderately Fit,High Protein Veg Diet,Beginner Fitness Routine
19,Female,64.0,1.53,153.0,27.34,Overweight,166,167,58,1.33,1111.0,29.8,2.3,3,HIIT,2,1340.2,2077.3,Weight Loss,Needs Improvement,High Protein Veg Diet,Progressive Strength Training
41,Female,43.8,1.77,177.0,13.98,Underweight,182,165,58,1.19,884.0,31.9,1.6,3,Cardio,1,1178.2,1826.2,Weight Gain,Needs Improvement,High Carb Performance Diet,Beginner Cardio + Walking
47,Female,66.8,1.75,175.0,21.81,Normal,199,146,56,1.13,742.0,32.8,2.5,3,Strength,2,1365.8,2117.0,Muscle Gain,Moderately Fit,High Protein Veg Diet,Progressive Strength Training
55,Female,75.2,1.67,167.0,26.96,Overweight,188,167,51,1.37,1030.0,25.2,2.2,2,HIIT,1,1359.8,1869.7,Weight Loss,Needs Improvement,High Protein Veg Diet,Intermediate Cardio + HIIT
19,Male,89.0,1.77,177.0,28.41,Overweight,175,127,72,1.5,1048.0,28.9,3.7,4,Strength,2,1906.2,3288.2,Weight Loss,Moderately Fit,High Protein Non-Veg Diet,Progressive Strength Training
38,Male,71.9,1.77,177.0,22.95,Normal,197,142,72,1.12,875.0,25.7,3.1,2,Cardio,1,1640.2,2255.3,Improve Stamina,Moderately Fit,High Carb Performance Diet,Beginner Cardio + Walking
50,Female,71.0,1.68,168.0,25.16,Overweight,187,161,70,1.17,848.0,33.1,2.5,2,Yoga,1,1349.0,1854.9,Weight Loss,Needs Improvement,Balanced Maintenance Diet,Active Lifestyle Routine
29,Male,120.9,1.78,178.0,38.16,Obese,197,168,65,0.78,721.0,28.1,3.4,2,Yoga,1,2181.5,2999.6,Weight Loss,Needs Improvement,Balanced Maintenance Diet,Active Lifestyle Routine
39,Female,64.3,1.69,169.0,22.51,Normal,190,148,58,1.25,925.0,26.9,1.9,4,HIIT,2,1343.2,2317.0,Maintain Fitness,Fit,High Protein Veg Diet,Progressive Strength Training
42,Female,63.7,1.71,171.0,21.78,Normal,173,169,62,1.42,1080.0,26.1,1.8,3,Yoga,2,1334.8,2068.9,Maintain Fitness,Moderately Fit,Balanced Maintenance Diet,Active Lifestyle Routine
44,Male,65.2,1.8,180.0,20.12,Normal,192,139,68,0.73,502.0,27.2,2.7,2,HIIT,1,1562.0,2147.8,Maintain Fitness,Moderately Fit,High Protein Non-Veg Diet,Intermediate Cardio + HIIT
59,Male,53.9,1.75,175.0,17.6,Underweight,168,135,69,1.48,989.0,21.6,2.8,4,Strength,2,1342.8,2316.3,Weight Gain,Fit,High Protein Non-Veg Diet,Progressive Strength Training
45,Male,84.9,1.86,186.0,24.54,Normal,186,136,66,1.64,1104.0,14.2,3.5,5,HIIT,3,1791.5,3403.8,Maintain Fitness,Fit,High Protein Non-Veg Diet,Intermediate Cardio + HIIT
33,Female,78.0,1.68,168.0,27.64,Overweight,183,135,55,1.29,871.0,32.3,1.8,3,HIIT,2,1504.0,2331.2,Weight Loss,Needs Improvement,High Protein Veg Diet,Progressive Strength Training
32,Male,108.2,1.8,180.0,33.4,Obese,172,138,53,1.27,964.0,28.4,3.5,3,HIIT,1,2052.0,3180.6,Weight Loss,Needs Improvement,High Protein Non-Veg Diet,Intermediate Cardio + HIIT
20,Female,65.4,1.52,152.0,28.31,Overweight,185,127,50,1.03,654.0,28.0,2.2,4,Yoga,2,1343.0,2316.7,Weight Loss,Moderately Fit,Balanced Maintenance Diet,Active Lifestyle Routine
54,Female,50.2,1.61,161.0,19.37,Normal,188,157,67,1.48,1046.0,28.2,2.7,2,HIIT,1,1077.2,1481.2,Maintain Fitness,Needs Improvement,High Protein Veg Diet,Intermediate Cardio + HIIT
24,Female,58.9,1.51,151.0,25.83,Overweight,187,157,68,1.04,816.0,31.7,2.5,2,Cardio,1,1251.8,1721.2,Weight Loss,Needs Improvement,Low Calorie Balanced Diet,Beginner Cardio + Walking
38,Male,81.4,1.71,171.0,27.84,Overweight,187,148,58,1.52,1237.0,10.2,3.5,5,HIIT,3,1697.8,3225.8,Weight Loss,Fit,High Protein Non-Veg Diet,Intermediate Cardio + HIIT
26,Male,127.6,1.73,173.0,42.63,Obese,167,160,62,1.32,1162.0,27.3,2.9,3,Strength,1,2232.2,3459.9,Weight Loss,Needs Improvement,High Protein Non-Veg Diet,Beginner Fitness Routine
56,Female,59.3,1.56,156.0,24.37,Normal,182,155,57,1.26,879.0,33.4,2.6,4,Cardio,2,1127.0,1944.1,Improve Stamina,Moderately Fit,High Carb Performance Diet,Cardio Endurance Training
35,Male,96.9,1.71,171.0,33.14,Obese,188,145,72,1.34,1069.0,24.2,2.9,3,Strength,2,1867.8,2895.1,Weight Loss,Needs Improvement,High Protein Non-Veg Diet,Progressive Strength Training
21,Male,62.6,1.81,181.0,19.11,Normal,164,150,62,1.3,1072.0,27.6,3.5,4,Strength,2,1657.2,2858.7,Muscle Gain,Fit,High Protein Non-Veg Diet,Progressive Strength Training
42,Male,45.5,1.6,160.0,17.77,Underweight,166,163,64,1.31,1057.0,21.7,2.6,3,Strength,2,1250.0,1937.5,Weight Gain,Moderately Fit,High Protein Non-Veg Diet,Progressive Strength Training
31,Female,48.8,1.51,151.0,21.4,Normal,195,131,60,1.48,969.0,28.2,2.0,2,Cardio,1,1115.8,1534.2,Improve Stamina,Needs Improvement,High Carb Performance Diet,Beginner Cardio + Walking
26,Female,44.3,1.6,160.0,17.3,Underweight,186,136,61,1.08,734.0,34.7,2.0,3,Cardio,1,1152.0,1785.6,Weight Gain,Needs Improvement,High Carb Performance Diet,Beginner Cardio + Walking
43,Male,113.2,1.83,183.0,33.8,Obese,161,134,63,1.45,962.0,29.9,2.9,4,Yoga,2,2065.8,3563.5,Weight Loss,Needs Improvement,Balanced Maintenance Diet,Active Lifestyle Routine
19,Female,60.5,1.59,159.0,23.93,Normal,184,128,53,1.14,730.0,30.1,2.2,2,Cardio,1,1342.8,1846.3,Improve Stamina,Needs Improvement,High Carb Performance Diet,Beginner Cardio + Walking
37,Male,124.2,1.76,176.0,40.1,Obese,168,158,50,1.5,1304.0,29.3,2.8,2,HIIT,1,2162.0,2972.8,Weight Loss,Needs Improvement,High Protein Non-Veg Diet,Intermediate Cardio + HIIT
45,Male,52.4,1.85,185.0,15.31,Underweight,186,161,73,1.2,956.0,25.2,2.5,3,Strength,1,1460.2,2263.3,Weight Gain,Moderately Fit,High Protein Non-Veg Diet,Beginner Fitness Routine
24,Male,54.7,1.74,174.0,18.07,Underweight,160,167,53,0.84,772.0,22.9,3.6,3,Yoga,1,1519.5,2355.2,Weight Gain,Moderately Fit,Balanced Maintenance Diet,Active Lifestyle Routine
25,Male,88.1,1.95,195.0,23.17,Normal,182,131,68,1.41,1016.0,22.7,3.0,2,Cardio,1,1979.8,2722.2,Improve Stamina,Moderately Fit,High Carb Performance Diet,Beginner Cardio + Walking
52,Female,59.7,1.71,171.0,20.42,Normal,169,151,58,1.23,836.0,34.3,2.0,3,Strength,1,1244.8,1929.4,Muscle Gain,Needs Improvement,High Protein Veg Diet,Beginner Fitness Routine
31,Female,79.7,1.54,154.0,33.61,Obese,184,144,59,1.03,742.0,26.7,2.3,4,Cardio,2,1443.5,2490.0,Weight Loss,Moderately Fit,Low Calorie Balanced Diet,Cardio Endurance Training
34,Female,51.0,1.62,162.0,19.43,Normal,162,158,53,1.42,1122.0,30.8,2.4,3,Yoga,2,1191.5,1846.8,Maintain Fitness,Moderately Fit,Balanced Maintenance Diet,Active Lifestyle Routine
53,Male,84.2,1.76,176.0,27.18,Overweight,165,137,69,1.67,1133.0,12.8,3.5,5,Cardio,3,1682.0,3195.8,Weight Loss,Fit,Low Calorie Balanced Diet,Cardio Endurance Training
57,Male,122.1,1.89,189.0,34.18,Obese,165,134,58,1.13,750.0,27.4,3.6,3,Cardio,1,2122.2,3289.4,Weight Loss,Needs Improvement,Low Calorie Balanced Diet,Beginner Cardio + Walking
